CountryCode,SeriesCode,TimeCode,DESCRIPTION
ZAR,BX.KLT.DINV.CD.DT,YR2006,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZAR,BX.KLT.DINV.CD.DT,YR2007,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZAR,BX.KLT.DINV.CD.DT,YR2008,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZAR,BX.KLT.DINV.CD.DT,YR2009,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZAR,DT.DFR.DPPG.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DFR.DPPG.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DFR.DPPG.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2007,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2008,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2009,Data include the effects of Enhanced HIPC Initiative.  
ZAR,DT.DOD.DECT.CD,YR2010,Data include the effects of MDRI and HIPC debt relief. 
ZAR,DT.DOD.PVLX.CD,YR2011,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
ZMB,BX.KLT.DINV.CD.DT,YR1970,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1971,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1972,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1973,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1974,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1975,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1976,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1977,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1992,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1993,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1994,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1995,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR1996,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
ZMB,BX.KLT.DINV.CD.DT,YR2009,Country data.
ZMB,DT.DFR.DPPG.CD,YR2006,Data include the effects of MDRI.  
ZMB,DT.DOD.DECT.CD,YR2006,Data include the effects of MDRI.  
